       Step     Time          Energy          fmax
LBFGS:    0 14:42:39    -3223.265073        3.113451
LBFGS:    1 14:42:39    -3223.503191        1.890675
LBFGS:    2 14:42:39    -3223.646927        0.822316
LBFGS:    3 14:42:39    -3223.707681        0.773500
LBFGS:    4 14:42:39    -3223.773287        0.542309
LBFGS:    5 14:42:39    -3223.792529        0.404350
LBFGS:    6 14:42:39    -3223.814745        0.403592
LBFGS:    7 14:42:39    -3223.839950        0.544658
LBFGS:    8 14:42:39    -3223.862373        0.444042
LBFGS:    9 14:42:39    -3223.878944        0.335454
LBFGS:   10 14:42:39    -3223.893211        0.359997
LBFGS:   11 14:42:39    -3223.910341        0.390755
LBFGS:   12 14:42:39    -3223.926502        0.308795
LBFGS:   13 14:42:39    -3223.934487        0.218180
LBFGS:   14 14:42:39    -3223.937774        0.153772
LBFGS:   15 14:42:39    -3223.940263        0.127624
LBFGS:   16 14:42:39    -3223.941986        0.118431
LBFGS:   17 14:42:39    -3223.943168        0.088335
LBFGS:   18 14:42:39    -3223.943836        0.109942
LBFGS:   19 14:42:39    -3223.944290        0.055146
LBFGS:   20 14:42:39    -3223.944587        0.044878
       Step     Time          Energy          fmax
LBFGS:    0 14:48:33    -3223.265073        3.113451
LBFGS:    1 14:48:33    -3223.503191        1.890675
LBFGS:    2 14:48:33    -3223.646927        0.822316
LBFGS:    3 14:48:33    -3223.707681        0.773500
LBFGS:    4 14:48:33    -3223.773287        0.542309
LBFGS:    5 14:48:33    -3223.792529        0.404350
LBFGS:    6 14:48:33    -3223.814745        0.403592
LBFGS:    7 14:48:33    -3223.839950        0.544658
LBFGS:    8 14:48:33    -3223.862373        0.444042
LBFGS:    9 14:48:33    -3223.878944        0.335454
LBFGS:   10 14:48:33    -3223.893211        0.359997
LBFGS:   11 14:48:33    -3223.910341        0.390755
LBFGS:   12 14:48:33    -3223.926502        0.308795
LBFGS:   13 14:48:33    -3223.934487        0.218180
LBFGS:   14 14:48:33    -3223.937774        0.153772
LBFGS:   15 14:48:33    -3223.940263        0.127624
LBFGS:   16 14:48:33    -3223.941986        0.118431
LBFGS:   17 14:48:33    -3223.943168        0.088335
LBFGS:   18 14:48:33    -3223.943836        0.109942
LBFGS:   19 14:48:33    -3223.944290        0.055146
LBFGS:   20 14:48:33    -3223.944587        0.044878
       Step     Time          Energy          fmax
LBFGS:    0 14:50:11    -3223.265073        3.113451
LBFGS:    1 14:50:11    -3223.503191        1.890675
LBFGS:    2 14:50:11    -3223.646927        0.822316
LBFGS:    3 14:50:11    -3223.707681        0.773500
LBFGS:    4 14:50:11    -3223.773287        0.542309
LBFGS:    5 14:50:11    -3223.792529        0.404350
LBFGS:    6 14:50:11    -3223.814745        0.403592
LBFGS:    7 14:50:11    -3223.839950        0.544658
LBFGS:    8 14:50:11    -3223.862373        0.444042
LBFGS:    9 14:50:11    -3223.878944        0.335454
LBFGS:   10 14:50:11    -3223.893211        0.359997
LBFGS:   11 14:50:11    -3223.910341        0.390755
LBFGS:   12 14:50:11    -3223.926502        0.308795
LBFGS:   13 14:50:11    -3223.934487        0.218180
LBFGS:   14 14:50:11    -3223.937774        0.153772
LBFGS:   15 14:50:11    -3223.940263        0.127624
LBFGS:   16 14:50:11    -3223.941986        0.118431
LBFGS:   17 14:50:11    -3223.943168        0.088335
LBFGS:   18 14:50:11    -3223.943836        0.109942
LBFGS:   19 14:50:11    -3223.944290        0.055146
LBFGS:   20 14:50:11    -3223.944587        0.044878
       Step     Time          Energy          fmax
LBFGS:    0 14:53:09    -3225.054065        1.622198
LBFGS:    1 14:53:09    -3225.139568        1.006824
LBFGS:    2 14:53:09    -3225.228617        0.726690
LBFGS:    3 14:53:09    -3225.265243        0.554250
LBFGS:    4 14:53:09    -3225.288412        0.370484
LBFGS:    5 14:53:09    -3225.300133        0.354200
LBFGS:    6 14:53:09    -3225.322192        0.484424
LBFGS:    7 14:53:09    -3225.340870        0.470619
LBFGS:    8 14:53:10    -3225.355550        0.362106
LBFGS:    9 14:53:10    -3225.365635        0.268027
LBFGS:   10 14:53:10    -3225.375123        0.295623
LBFGS:   11 14:53:10    -3225.383550        0.264973
LBFGS:   12 14:53:10    -3225.388206        0.151525
LBFGS:   13 14:53:10    -3225.389624        0.103537
LBFGS:   14 14:53:10    -3225.390375        0.083440
LBFGS:   15 14:53:10    -3225.390980        0.065183
LBFGS:   16 14:53:10    -3225.391318        0.050879
LBFGS:   17 14:53:10    -3225.391475        0.027413
       Step     Time          Energy          fmax
LBFGS:    0 14:54:47    -3225.054065        1.622198
LBFGS:    1 14:54:47    -3225.139568        1.006824
LBFGS:    2 14:54:47    -3225.228617        0.726690
LBFGS:    3 14:54:47    -3225.265243        0.554250
LBFGS:    4 14:54:47    -3225.288412        0.370484
LBFGS:    5 14:54:47    -3225.300133        0.354200
LBFGS:    6 14:54:47    -3225.322192        0.484424
LBFGS:    7 14:54:47    -3225.340870        0.470619
LBFGS:    8 14:54:47    -3225.355550        0.362106
LBFGS:    9 14:54:47    -3225.365635        0.268027
LBFGS:   10 14:54:47    -3225.375123        0.295623
LBFGS:   11 14:54:47    -3225.383550        0.264973
LBFGS:   12 14:54:47    -3225.388206        0.151525
LBFGS:   13 14:54:47    -3225.389624        0.103537
LBFGS:   14 14:54:47    -3225.390375        0.083440
LBFGS:   15 14:54:47    -3225.390980        0.065183
LBFGS:   16 14:54:47    -3225.391318        0.050879
